"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Grain moisture content - %|CO_321:0001198","Grain test weight - g/l|CO_321:0001210","Grain yield - kg/ha|CO_321:0001218","Heading time - Julian date (JD)|CO_321:0001233","Plant height - cm|CO_321:0001301","notes"
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","272075","2020-528","IL2020-528","plot","310010","SI_Urb_22-1","1","1","1","1","1","test","","","","","11.8","761.22","3677.03","135","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","271389","2020-1511","IL2020-1511","plot","309468","SI_Urb_22-10","1","1","10","1","10","test","","","","","11.6","787.21","5662.22","134","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","272352","2020-8628","IL2020-8628","plot","310457","SI_Urb_22-100","1","1","100","4","21","test","","","","","11.8","756.17","5363.82","135","91.44",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301103","IL2021-14476","21-14476","plot","310033","SI_Urb_22-1000","1","1","1000","34","21","test","","","","","15.8","786.8","6594.53","134","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299745","IL2021-18435","21-18435","plot","309849","SI_Urb_22-1001","1","1","1001","34","20","test","","","","","15.6","804.73","7097","133","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301015","IL2021-18124","21-18124","plot","309435","SI_Urb_22-1002","1","1","1002","34","19","test","","","","","15.3","776.9","6933.67","135","109.22",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300636","IL2021-18365","21-18365","plot","310031","SI_Urb_22-1003","1","1","1003","34","18","test","","","","","15.4","784.4","6908.36","134","106.68",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299418","IL2021-41433","21-41433","plot","309148","SI_Urb_22-1004","1","1","1004","34","17","test","","","","","15.5","776.1","5361.12","133","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300042","IL2021-41972","21-41972","plot","309488","SI_Urb_22-1005","1","1","1005","34","16","test","","","","","15.8","803.99","6577.49","133","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300094","IL2021-41914","21-41914","plot","309927","SI_Urb_22-1006","1","1","1006","34","15","test","","","","","15.8","793.42","6245.21","133","101.6",""
